"year","open","close","period","next_open","cum_days","G_bul","G_con","G_cra","B_dig","N_dut","G_fal","G_glu","G_hir","T_hum","G_inf","P_obl","N_inc","H_pel","T_qui","G_rubp","G_rubw","G_rus","G_sac","G_sci","G_sip","G_ten","O_uni","G_tru"
2002,2002-02-24,2002-03-01,5,0,5,1.3,0,0,0,0,2.7,1.3,1.3,1.3,1.3,0,0,0,0,0,1.3,0,0,0,2.7,0,0,1.3
2002,2002-03-01,2002-03-16,15,0,20,102,0,2,0,0,461.5,124,27.5,122,13,6.5,16,0,4,0,17.5,6,4,16,8,4,1,18.5
2002,2002-03-16,2002-04-01,16,0,36,137.5,0,0,0,3.5,260,1375,44,20.5,88.5,7.5,62.5,0,20,0,187,36,11,60,23,0,0,16.5
2002,2002-04-01,2002-04-16,15,0,51,196.5,0,0,0,0.5,293.5,698.5,72.5,120,15.5,1,18.5,0,216,0,103,16,4,97,51,8,2.5,5.5
2002,2002-04-16,2002-05-01,15,0,66,33.6,0,0,0,0,42.7,144.5,11.7,6.9,0.5,0,4.3,0,65.1,0,16,9.1,1.1,50.7,13.9,1.6,0.5,1.6
2002,2002-05-01,2002-05-16,15,0,81,60.5,0,0,1,0,24.5,116,14.5,5,2,0,0.5,0,8,0,49,18,7.5,196.5,12.5,0,0.5,6.5
2002,2002-05-16,2002-06-01,16,0,97,75,0,0,2,0.5,50.5,123.5,6,12,2,0,0,0,44,0,43.5,14,6.5,95,6.5,11,1,1.5
2002,2002-06-01,2002-07-01,30,0,127,4.9,0,0,0.3,0,5.4,16.8,0.3,2.1,0.3,0,0,0,7.2,1,9.3,5.9,0.8,6.5,3.1,0.5,0.5,0
2002,2002-07-01,2002-08-01,31,0,158,3.3,0,0,0.3,0,2.3,16,1,0,1,0,0,0,5,3.8,24.3,7,1.5,4.8,5.3,2.5,1.8,0.5
2002,2002-08-01,2002-10-01,61,0,219,0.9,0,0,0.1,0,1,4.1,0,0.1,0.1,0,0.8,0.1,3,1,14.5,7.2,0.4,1.2,3.6,1.3,0.1,0
2002,2002-10-01,2002-12-01,61,0,280,1.4,2.3,0,0,0,2.1,8.5,0.1,0.3,0,0,0.1,0,1.5,1.4,13.4,5.1,2.9,1.7,1.8,0.4,0.8,0
2002,2002-12-01,2003-01-01,31,0,311,3,0.3,0,0,0,2.5,49.8,0.5,0.5,0,0,0.5,0,2.8,0.8,43.5,13,2,1.3,7,2.5,1.3,0.5
2003,2003-01-01,2003-02-01,31,0,342,2.3,0,0,0,0,4.8,13.8,0.3,4.8,0.3,0,0.8,0,1.3,0,23.8,3,6.3,0.5,7.3,0.8,0.3,14.8
2003,2003-02-01,2003-02-15,14,0,356,6.9,0,0,0,0,7.5,33.1,0,10.1,0,0,0,0,3.2,0.5,36.3,3.2,9.1,1.6,6.9,2.1,2.1,20.3
2003,2003-02-15,2003-03-01,14,0,370,23.5,0,0,0,0,83.7,62.4,0,78.9,1.6,1.6,0,0,1.1,0,33.1,2.1,8.5,2.1,10.7,2.1,1.6,33
2003,2003-03-01,2003-03-16,15,0,385,29,1,0,0,0,55,54,3,57,3,0.5,0,0,3,0,43.5,17,8,4,19,0,1.5,29.5
2003,2003-03-16,2003-04-01,16,0,401,21.5,0,0,0,0,41,37,5.5,37.5,1.5,1,0.5,0,3.5,0,21.5,2,4.5,3.5,2,1,0,8
2003,2003-04-01,2003-04-16,15,4,416,6,0,0,0,0,12,32.5,1,7.5,0,0,0,0,6.5,0,7,2.5,0,3,2,0,0.5,0.5
2003,2003-04-20,2003-05-01,11,0,431,0,0,0,0,0,0.7,0,1.3,0,0,0,0,0,0,0,0.7,0,0.7,0,0.7,0,0,0
2003,2003-05-01,2003-05-16,15,0,446,81,0,0,0,0.5,47,77,8.5,5.5,4,0,7.5,0.5,8.5,0,82.5,3.5,14.5,0,14.5,1.5,1,0.5
2003,2003-05-16,2003-06-01,16,0,462,5,0,0,0,0,3.5,13,1,0,1,0,0,0,0.5,0,17,2.5,2,3.5,6.5,0,1.5,0.5
2003,2003-06-01,2003-06-16,15,0,477,5.5,0,0,0,0,2,6.5,1,0.5,1,0,0,0,0.5,0,11,1,3.5,6,5.5,0,1,1
2003,2003-06-16,2003-07-01,15,0,492,4.8,0,0,0,0,5.3,5.3,1.6,0,0,0,0,1.1,7.5,0,16.5,1,2.7,3.7,1.6,0,1.1,0
2003,2003-07-01,2003-08-01,31,0,523,0.3,0,0,0,0,5.8,6.8,0.3,0,0,0,0.5,0.8,4.8,0.3,7.8,4.3,1.3,0.5,6,0,1.3,0
2003,2003-08-01,2003-09-01,31,0,554,1.8,0,0,0.8,0.3,7,10,0,0,0,0,0.3,0.5,8.3,2.3,20.8,10.8,0.8,2.8,7,0.3,0.8,0
2003,2003-09-01,2003-10-01,30,0,584,3.1,0,0,0.3,0,4.4,12.1,0,0,0.3,0,0.3,0,5.7,3.4,57.8,10.5,3.9,1,3.1,0.8,1.8,0.3
2003,2003-10-01,2003-11-01,31,0,615,2.3,3.8,0,0,0,3,20.8,0,0,0,0,0,0,2.5,3,81.5,8,4.8,0.3,3.3,3.3,0.5,0
2003,2003-11-01,2003-12-01,30,0,645,0.5,0,0,0,0,5.4,26.1,0,0,0,0,0,0,3.4,4.9,95.7,12.9,8.8,0.3,5.2,6.5,1.3,0
2003,2003-12-01,2004-01-01,31,0,676,0.3,0,0,0,0,0.3,7,0,4.3,0,0,0.3,0,1,0.8,14.3,3,1.5,0,2.5,1,0,1.8
2004,2004-01-01,2004-01-16,15,0,691,1.5,0,0,0,0,12,47,0,0.5,0,0,0,0,5,7,128.5,17.5,17.5,0,5.5,5,2,1
2004,2004-01-16,2004-02-01,16,0,707,12,0,0,0,0,10.5,28,0,55,0,0,0,0,6,1,32.5,5.5,2.5,0.5,6.5,2.5,0.5,38
2004,2004-02-01,2004-02-16,15,0,722,12,0,0,0,0,13.5,26.5,0.5,37.5,0,0.5,0.5,0,2.5,0.5,29.5,3.5,8.5,2,7.5,1.5,0.5,21
2004,2004-02-16,2004-03-01,14,0,736,3.4,0,0,0,0,4.6,2.3,0,9.1,0.6,0,0.6,0,0,0,6.3,0.6,0.6,1.1,4,0,0.6,2.3
2004,2004-03-01,2004-03-16,15,0,751,2,0,1,0,0,11.5,7.5,0,4.5,0.5,0,0,0,2,0,9,2.5,3,1,5,0.5,0,5
2004,2004-03-16,2004-04-01,16,NA,767,3.5,0,0,0,0,4.5,6.5,0.5,16.5,0.5,0,0.5,0,0,0.5,11.5,1.5,2.5,0.5,3,0.5,0,4
