"year","open","close","period","next_open","cum_days","G_bul","G_sip","N_inc","G_inf","G_sac","G_tru","O_uni","N_pac","G_rubw","G_rubp","G_glu","T_qui","B_dig"
1993,1993-10-16,1993-10-31,15,16,15,5,0,0,0,0,10,0,0,0,0,0,0,0
1993,1993-11-16,1993-11-30,14,1,45,254.8,0,5.3,0,0,228.2,21.2,0,5.3,0,0,0,0
1993,1993-12-01,1993-12-15,14,1,60,118.1,1.3,0,1.3,2.7,167.2,4,0,1.3,0,0,0,0
1993,1993-12-16,1993-12-31,15,1,76,358.3,5,0,29.9,0,238.9,14.9,0,0,0,5,0,0
1994,1994-01-01,1994-01-15,14,1,91,553.1,2.1,13.8,66.9,2.1,157.1,2.1,0,1.1,0,0,0,0
1994,1994-01-16,1994-01-31,15,1,107,552.3,0,5,79.6,0,49.8,0,0,5,0,0,0,0
1994,1994-02-01,1994-02-15,14,14,122,748.4,0,53.1,37.2,0,74.3,0,0,0,0,0,0,0
1994,1994-03-01,1994-03-15,14,1,150,3179.4,0,419.3,281.3,0,350.3,0,21.2,0,0,15.9,0,0
1994,1994-03-16,1994-03-31,15,1,166,1756.6,5,194.1,124.4,0,204,5,0,5,0,0,0,4.97611465
1994,1994-04-01,1994-04-15,14,54,181,164.5,0,21.2,21.2,5.3,0,0,0,0,0,0,0,0
1994,1994-06-08,1994-06-15,7,9,242,0,0,0,0,0,0,10,0,0,0,0,0,0
1994,1994-06-24,1994-06-30,6,1,257,0,0,0,0,4.5,0,0,0,0,0,0,0,0
1994,1994-07-01,1994-07-15,14,1,272,4.8,0,1.6,0,1.6,0,0,0,0,0,0,0,0
1994,1994-07-16,1994-07-31,15,1,288,1.5,0,1.5,0,0,0,0,0,0,0,0,0,0
1994,1994-08-01,1994-08-15,14,1,303,21.2,0,15.9,5.3,5.3,0,5.3,0,5.3,0,0,0,0
1994,1994-08-16,1994-08-31,15,1,319,13.4,0,4.5,0,7.5,1.5,11.9,0,0,0,0,1.5,0
1994,1994-09-01,1994-09-15,14,1,334,4.2,2.1,7.4,0,15.9,5.3,13.8,0,0,0,0,1.1,0
1994,1994-09-16,1994-09-30,14,1,349,30.3,0,15.9,0,15.9,11.1,12.7,0,0,0,0,1.6,0
1994,1994-10-01,1994-10-15,14,1,364,31.8,3.2,6.4,0,44.6,28.7,46.2,0,1.6,0,0,0,0
1994,1994-10-16,1994-10-31,15,18,380,22.4,0,11.9,0,32.8,10.4,20.9,0,0,0,0,0,0
1994,1994-11-18,1994-11-30,12,1,410,88.2,0,11,0,3.7,33.1,0,0,0,0,0,3.7,0
1994,1994-12-01,1994-12-15,14,1,425,9.6,3.2,6.4,6.4,12.7,73.2,3.2,0,0,0,0,9.6,0
1994,1994-12-16,1994-12-31,15,1,441,53.7,0,0,17.9,17.9,373.2,3,0,0,0,0,0,0
1995,1995-01-01,1995-01-15,14,1,456,23.9,2.7,2.7,23.9,2.7,299.9,5.3,0,0,0,0,0,0
1995,1995-01-16,1995-01-31,15,1,472,200,6,6,0,17.9,134.4,3,0,0,0,0,0,0
1995,1995-02-01,1995-02-15,14,1,487,407.6,3.2,35,9.6,6.4,105.1,0,0,0,0,0,3.2,0
1995,1995-02-16,1995-02-28,12,1,500,368.7,0,8.6,52.7,1.2,47.8,0,0,0,0,0,4.9,0
1995,1995-03-01,1995-03-15,14,1,515,208.1,1.1,5.3,62.6,0,24.4,1.1,0,0,0,0,3.2,0
1995,1995-03-16,1995-03-31,15,1,531,345.8,2.5,64.7,139.3,0,19.9,2.5,0,0,0,0,2.5,0
1995,1995-04-01,1995-04-15,14,1,546,1255.3,8,199,254.8,0,207,5.3,0,0,0,0,0,2.653927813
1995,1995-04-16,1995-04-30,14,1,561,270.7,8,31.8,34.5,0,31.8,0,0,0,0,0,0,0
1995,1995-05-01,1995-05-15,14,17,576,426.8,3.2,108.3,73.2,0,66.9,3.2,0,0,0,0,3.2,0
1995,1995-06-01,1995-06-15,14,1,607,21.2,0,0,4.2,0,0,0,0,0,0,0,0,0
1995,1995-06-16,1995-06-30,14,1,622,8.5,0,8.5,0,0,0,0,0,0,0,0,0,0
1995,1995-07-01,1995-07-15,14,1,637,0,0,8.5,0,0,0,0,0,0,0,0,4.2,0
1995,1995-07-16,1995-07-31,15,1,653,23.9,8,4,0,0,0,0,0,0,0,0,0,0
1995,1995-08-01,1995-08-15,14,1,668,12.7,0,97.7,0,29.7,0,0,0,0,0,0,21.2,0
1995,1995-08-16,1995-08-31,15,1,684,8,0,27.9,0,4,35.8,4,0,0,0,4,0,0
1995,1995-09-01,1995-09-15,14,1,699,0,0,12.7,4.2,25.5,12.7,0,0,0,0,0,0,4.246284501
1995,1995-09-16,1995-09-30,14,1,714,0,0,29.7,4.2,8.5,12.7,8.5,0,0,0,0,0,0
1995,1995-10-01,1995-10-15,14,1,729,12.7,0,17,8.5,4.2,4.2,4.2,0,0,0,0,0,0
1995,1995-10-16,1995-10-31,15,1,745,4,0,11.9,8,15.9,11.9,4,0,0,0,0,0,0
1995,1995-11-01,1995-11-15,14,1,760,0,0,25.5,0,4.2,8.5,0,0,0,0,0,0,0
1995,1995-11-16,1995-11-30,14,16,775,4.2,0,17,0,12.7,8.5,12.7,0,0,0,0,0,0
1995,1995-12-16,1995-12-31,15,1,806,4,0,43.8,63.7,0,23.9,0,0,0,0,4,0,0
1996,1996-01-01,1996-01-15,14,1,821,9.6,3.2,3.2,0,0,101.9,0,0,0,0,6.4,0,0
1996,1996-01-16,1996-01-31,15,1,837,31.8,0,0,8,0,111.5,0,0,0,0,0,4,0
1996,1996-02-01,1996-02-15,14,1,852,51,0,59.4,89.2,0,46.7,0,0,0,0,0,0,0
1996,1996-02-16,1996-02-29,13,1,866,118.3,0,118.3,95.5,0,40.9,4.5,0,0,0,0,0,0
1996,1996-03-01,1996-03-15,14,1,881,1108.3,8.5,458.6,789.8,12.7,208.1,8.5,0,4.2,0,4.2,0,0
1996,1996-03-16,1996-03-31,15,1,897,215,0,123.4,258.8,0,99.5,4,0,0,0,4,0,0
1996,1996-04-01,1996-04-15,14,1,912,135.9,0,110.4,174.1,0,93.4,0,0,0,0,4.2,0,0
1996,1996-04-16,1996-04-30,14,1,927,110.4,0,55.2,29.7,0,55.2,0,0,0,0,0,0,4.246284501
1996,1996-05-01,1996-05-15,14,1,942,67.9,0,63.7,76.4,0,25.5,0,0,0,0,4.2,0,0
1996,1996-05-16,1996-05-31,15,1,958,51.8,0,71.7,71.7,0,11.9,4,0,0,0,0,0,0
1996,1996-06-01,1996-06-15,14,31,973,157.1,4.2,80.7,89.2,0,46.7,0,0,0,0,4.2,0,0
1996,1996-07-16,1996-07-31,15,32,1019,8,4,8,0,0,0,4,0,0,0,0,0,0
1996,1996-09-01,1996-09-15,14,1,1065,12.7,0,4.2,0,0,8.5,12.7,0,0,0,0,0,4.246284501
1996,1996-09-16,1996-09-30,14,1,1080,4.2,0,0,0,4.2,12.7,8.5,0,8.5,0,0,0,0
1996,1996-10-01,1996-10-15,14,1,1095,29.7,4.2,25.5,0,0,8.5,4.2,0,8.5,0,0,0,0
1996,1996-10-16,1996-10-31,15,1,1111,11.9,0,0,0,0,23.9,4,0,0,0,0,0,0
1996,1996-11-01,1996-11-15,14,1,1126,4.2,0,0,0,0,8.5,0,0,0,0,4.2,0,0
1996,1996-11-16,1996-11-30,14,1,1141,25.5,4.2,0,0,21.2,17,0,0,0,0,0,0,0
1996,1996-12-01,1996-12-15,14,1,1156,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1996-12-16,1996-12-31,15,1,1172,71.7,23.9,8,27.9,4,294.6,19.9,0,0,0,0,0,11.94267516
1997,1997-01-01,1997-01-15,14,17,1187,84.9,0,17,21.2,0,263.3,25.5,4.2,4.2,0,0,0,8.492569002
1997,1997-02-01,1997-02-27,26,2,1230,257.1,15.9,43.2,66,0,40.9,0,2.3,0,0,0,0,9.099181074
1997,1997-03-01,1997-03-30,29,2,1261,92.5,2.1,28.8,28.8,0,45.2,0,2.1,0,0,0,0,12.32792275
1997,1997-04-01,1997-04-29,28,2,1291,63.7,10.6,4.2,14.9,0,21.2,10.6,0,0,0,0,0,4.246284501
1997,1997-05-01,1997-05-30,29,2,1322,187,6.2,4.1,14.4,0,51.4,22.6,0,0,2.1,0,0,0
1997,1997-06-01,1997-07-14,43,2,1367,196.7,7.1,12.7,11.3,4.2,178.3,18.4,0,7.1,0,0,0,0
1997,1997-07-16,1997-08-28,43,19,1412,109,5.7,14.2,11.3,9.9,96.2,5.7,0,7.1,0,0,0,0
1997,1997-09-16,1997-10-15,29,1,1460,2.1,4.2,0,0,59.4,51,178.3,2.1,8.5,0,0,0,4.246284501
1997,1997-10-16,1997-11-15,30,1,1491,4.1,2.1,0,0,41.1,2.1,22.6,0,2.1,0,0,0,4.109307582
1997,1997-11-16,1997-12-15,29,1,1521,2.1,0,0,0,6.4,46.7,0,0,4.2,0,0,0,0
1997,1997-12-16,1998-01-15,30,1,1552,65.7,2.1,2.1,10.3,4.1,244.5,12.3,0,2.1,0,0,0,0
1998,1998-01-16,1998-02-15,30,45,1583,43.1,4.1,2.1,6.2,0,55.5,2.1,0,2.1,0,2.1,0,0
1998,1998-04-01,1998-04-30,29,1,1657,220.8,0,74.3,10.6,0,61.6,2.1,0,0,0,0,0,0
1998,1998-05-01,1998-05-31,30,1,1688,478.7,0,16.4,2.1,0,12.3,4.1,0,0,0,2.1,0,0
1998,1998-06-01,1998-06-30,29,1,1718,36.1,0,0,2.1,0,0,0,0,0,0,0,0,0
1998,1998-07-01,1998-07-31,30,1,1749,28.8,0,20.5,2.1,2.1,0,2.1,0,0,0,0,0,0
1998,1998-08-01,1998-08-31,30,1,1780,6.2,4.1,20.5,2.1,0,37,2.1,0,0,0,0,0,0
1998,1998-09-01,1998-09-26,25,20,1806,25.9,4.7,23.6,0,7.1,66.1,21.2,0,0,0,0,0,0
1998,1998-10-16,1998-11-15,30,1,1856,419.1,18.5,135.6,78.1,0,63.7,4.1,2.1,0,0,0,0,2.054653791
1998,1998-11-16,1998-12-15,29,1,1886,611.5,27.6,80.7,82.8,0,101.9,6.4,0,4.2,0,4.2,0,2.123142251
1998,1998-12-16,1999-01-15,30,1,1917,600,34.9,12.3,18.5,6.2,256.8,16.4,0,2.1,0,0,0,0
1999,1999-01-16,1999-02-15,30,29,1948,162.3,16.4,2.1,10.3,0,244.5,8.2,0,0,0,0,0,0
1999,1999-03-16,1999-04-15,30,16,2007,2.1,0,0,0,0,0,0,0,0,0,0,0,6.163961373
1999,1999-05-01,1999-05-31,30,1,2053,0,0,0,0,0,6.2,0,0,0,0,0,0,0
1999,1999-06-01,1999-06-30,29,1,2083,44.6,2.1,0,0,2.1,4.2,0,0,0,0,0,0,0
1999,1999-07-01,1999-07-31,30,1,2114,10.3,0,4.1,0,0,0,2.1,0,0,0,0,0,0
1999,1999-08-01,1999-08-31,30,1,2145,47.3,8.2,16.4,0,0,6.2,6.2,0,0,0,0,0,0
1999,1999-09-01,1999-09-30,29,1,2175,10.6,0,38.2,0,4.2,2.1,2.1,0,0,0,0,0,0
1999,1999-10-01,1999-10-31,30,16,2206,28.8,0,69.9,0,8.2,4.1,6.2,0,2.1,0,0,0,0
1999,1999-11-16,1999-12-15,29,1,2251,14.9,2.1,6.4,4.2,6.4,106.2,4.2,0,2.1,0,0,0,0
1999,1999-12-16,2000-01-15,30,1,2282,254.8,12.3,265.1,285.6,8.2,160.3,20.5,4.1,0,0,8.2,0,0
2000,2000-01-16,2000-02-15,30,1,2313,702.7,10.3,102.7,108.9,8.2,63.7,14.4,4.1,2.1,0,0,0,0
2000,2000-02-16,2000-03-15,28,1,2342,2530.2,6.6,806.1,145,0,41.7,8.8,13.2,0,0,13.2,0,0
2000,2000-03-16,2000-04-15,30,1,2373,3104.6,6.2,819.8,37,2.1,20.5,8.2,0,0,0,0,0,0
2000,2000-04-16,2000-05-15,29,17,2403,369.4,2.1,142.3,8.5,0,51,2.1,2.1,0,0,0,0,0
2000,2000-06-01,2000-06-29,28,2,2448,118.9,0,34,0,17,34,0,0,0,0,0,0,0
2000,2000-07-01,2000-07-30,29,2,2479,45.2,0,30.8,0,12.3,32.9,4.1,0,2.1,0,0,0,0
2000,2000-08-01,2000-08-30,29,2,2510,22.6,0,18.5,0,6.2,2.1,2.1,0,0,0,0,0,0
2000,2000-09-01,2000-09-29,28,2,2540,0,0,14.9,0,8.5,6.4,2.1,0,2.1,0,0,0,0
2000,2000-10-01,2000-10-30,29,2,2571,6.2,4.1,28.8,0,26.7,4.1,2.1,0,0,0,0,0,0
2000,2000-11-01,2000-11-28,27,18,2600,81.3,13.2,41.7,0,72.5,17.6,61.5,2.2,2.2,6.6,0,2.2,0
2000,2000-12-16,2001-01-14,29,2,2647,67.8,2.1,2.1,0,6.2,6.2,0,0,0,0,2.1,0,0
2001,2001-01-16,2001-02-14,29,2,2678,53.4,0,6.2,6.2,0,20.5,0,0,0,0,0,0,0
2001,2001-02-16,2001-03-14,26,2,2706,518.7,2.3,202.5,97.8,0,200.2,6.8,0,2.3,0,9.1,0,0
2001,2001-03-16,2001-04-14,29,2,2737,234.2,2.1,464.4,78.1,0,219.8,2.1,0,0,0,14.4,0,0
2001,2001-04-16,2001-05-14,28,2,2767,394.9,4.2,252.7,44.6,0,320.6,8.5,0,4.2,0,10.6,6.4,2.123142251
2001,2001-05-16,2001-06-14,29,17,2798,1066.4,2.1,234.2,26.7,4.1,197.2,26.7,0,0,0,10.3,6.2,6.163961373
2001,2001-07-01,2001-07-30,29,2,2844,12.3,2.1,14.4,0,12.3,26.7,14.4,0,0,0,0,0,0
2001,2001-08-01,2001-08-30,29,2,2875,8.2,6.2,10.3,0,41.1,6.2,20.5,0,4.1,2.1,0,0,0
2001,2001-09-01,2001-09-29,28,2,2905,4.2,2.1,6.4,0,61.6,17,46.7,0,0,4.2,0,0,0
2001,2001-10-01,2001-10-30,29,2,2936,10.3,6.2,4.1,0,32.9,14.4,22.6,0,0,0,0,0,0
2001,2001-11-01,2001-11-29,28,2,2966,27.6,2.1,6.4,0,53.1,57.3,21.2,0,0,0,0,0,0
2001,2001-12-01,2001-12-30,29,17,2997,22.6,6.2,6.2,0,22.6,76,0,0,0,0,2.1,0,0
2002,2002-01-16,2002-02-14,29,2,3043,593.8,20.5,69.9,45.2,0,450,0,0,0,0,8.2,0,0
2002,2002-02-16,2002-03-14,26,2,3071,220.7,2.3,404.9,109.2,0,279.8,0,0,0,0,0,0,0
2002,2002-03-16,2002-04-14,29,2,3102,209.6,2.1,719.1,178.8,0,98.6,2.1,0,0,0,4.1,0,0
2002,2002-04-16,2002-05-14,28,2,3132,486.2,8.5,265.4,42.5,0,131.6,2.1,0,0,0,2.1,2.1,0
2002,2002-05-16,2002-06-14,29,2,3163,267.1,2.1,90.4,8.2,0,90.4,6.2,4.1,0,0,0,0,0
2002,2002-06-16,2002-07-06,20,10,3185,40.5,0,23.2,5.8,0,26.1,0,0,0,0,0,0,0
2002,2002-07-16,2002-08-14,29,2,3224,45.2,10.3,6.2,0,4.1,55.5,55.5,0,0,0,0,2.1,0
2002,2002-08-16,2002-09-14,29,2,3255,53.4,14.4,0,2.1,14.4,47.3,57.5,0,0,0,0,0,0
2002,2002-09-16,2002-10-14,28,2,3285,17,21.2,4.2,2.1,25.5,29.7,129.5,0,2.1,8.5,0,0,0
2002,2002-10-16,2002-11-14,29,2,3316,2.1,10.3,0,0,12.3,10.3,55.5,0,2.1,4.1,0,0,4.109307582
2002,2002-11-16,2002-12-14,28,2,3346,25.5,44.6,2.1,2.1,8.5,186.8,40.3,2.1,12.7,17,4.2,2.1,0
2002,2002-12-16,2003-01-14,29,46,3377,26.7,12.3,4.1,2.1,6.2,135.6,8.2,0,12.3,4.1,0,2.1,2.054653791
2003,2003-03-01,2003-03-30,29,2,3452,2.1,0,0,0,0,0,0,0,0,0,0,0,0
2003,2003-04-01,2003-04-29,28,2,3482,53.1,4.2,63.7,12.7,0,135.9,0,0,0,0,0,0,10.61571125
2003,2003-05-01,2003-05-30,29,2,3513,16.4,4.1,12.3,0,0,156.2,0,0,0,0,0,0,0
2003,2003-06-01,2003-06-29,28,33,3543,48.8,8.5,29.7,4.2,0,127.4,2.1,0,0,0,0,0,0
2003,2003-08-01,2003-08-30,29,2,3605,8.2,2.1,8.2,2.1,0,22.6,20.5,0,0,0,0,0,0
2003,2003-09-01,2003-09-29,28,2,3635,8.5,4.2,2.1,2.1,4.2,84.9,25.5,0,0,0,0,0,0
2003,2003-10-01,2003-10-30,29,2,3666,6.2,0,2.1,0,0,24.7,12.3,0,0,0,0,0,0
2003,2003-11-01,2003-11-29,28,2,3696,0,0,0,0,0,4.2,0,0,0,0,0,0,0
2003,2003-12-01,2003-12-30,29,2,3727,12.3,2.1,6.2,0,0,12.3,0,0,0,0,0,0,0
2004,2004-01-01,2004-01-30,29,17,3758,6.2,6.2,0,0,0,63.7,4.1,0,0,0,2.1,0,0
2004,2004-02-16,2004-03-14,27,2,3802,136.2,50.5,450.3,621.6,0,208.7,2.2,0,0,0,4.4,4.4,46.1234351
2004,2004-03-16,2004-04-14,29,2,3833,43.1,2.1,189,47.3,0,43.1,0,0,0,0,2.1,2.1,2.054653791
2004,2004-04-16,2004-05-14,28,2,3863,18.7,2.1,19.1,7.2,0.8,3.4,0.4,0,0,0,0,0.4,0
2004,2004-05-16,2004-06-14,29,2,3894,513.7,24.7,234.2,53.4,4.1,78.1,14.4,0,0,0,0,14.4,0
2004,2004-06-16,2004-07-14,28,2,3924,176.2,19.1,53.1,17,12.7,21.2,4.2,0,0,0,10.6,12.7,0
2004,2004-07-16,2004-08-28,43,19,3969,67.9,2.8,28.3,7.1,0,9.9,12.7,0,0,0,0,0,0
2004,2004-09-16,2004-10-14,28,2,4016,17,4.2,4.2,0,2.1,8.5,21.2,0,4.2,0,0,2.1,0
2004,2004-10-16,2004-11-14,29,2,4047,6.2,2.1,0,0,0,0,12.3,0,2.1,6.2,0,0,0
2004,2004-11-16,2004-12-14,28,2,4077,8.5,6.4,2.1,0,0,6.4,2.1,0,4.2,0,0,0,0
2004,2004-12-16,2005-01-14,29,33,4108,2.1,2.1,0,0,0,47.3,0,0,2.1,0,0,0,0
2005,2005-02-16,2005-03-14,26,NA,4167,364,2.3,70.5,63.7,4.5,88.7,0,0,2.3,0,2.3,0,0
